time_s,min_gap_m,min_ttc_s,vehicles
0.0,,,0
0.01,,,0
0.02,,,0
0.03,,,0
0.04,,,0
0.05,,,0
0.06,,,0
0.07,,,0
0.08,,,0
0.09,,,0
0.1,,,0
0.11,,,0
0.12,,,0
0.13,,,0
0.14,,,0
0.15,,,0
0.16,,,0
0.17,,,0
0.18,,,0
0.19,,,0
0.2,14.0,,7
0.21,14.0,,7
0.22,14.0,,7
0.23,14.0,,7
0.24,14.0,,7
0.25,14.000000000000002,,7
0.26,14.000000000000002,,7
0.27,14.000000000000002,,7
0.28,14.000000000000002,,7
0.29,14.0,,7
0.3,14.0,,7
0.31,14.0,,7
0.32,14.0,,7
0.33,14.0,,7
0.34,14.0,,7
0.35,14.0,,7
0.36,14.0,,7
0.37,14.0,,7
0.38,14.0,,7
0.39,13.999999999999998,,7
0.4,13.999999999999998,,7
0.41,14.0,,7
0.42,14.000000000000002,,7
0.43,14.0,,7
0.44,14.0,,7
0.45,14.0,,7
0.46,14.0,,7
0.47,13.999999999999998,,7
0.48,14.0,,7
0.49,14.000000000000002,,7
0.5,14.0,,7
0.51,14.0,,7
0.52,14.0,,7
0.53,14.0,,7
0.54,13.999999999999998,,7
0.55,14.0,,7
0.56,14.0,,7
0.57,14.0,,7
0.58,14.0,,7
0.59,14.0,,7
0.6,13.999999999999998,,7
0.61,14.0,,7
0.62,14.0,,7
0.63,14.0,,7
0.64,13.999999999999998,,7
0.65,14.0,,7
0.66,14.0,,7
0.67,14.0,,7
0.68,14.0,,7
0.69,13.999999999999998,,7
0.7,14.000000000000002,,7
0.71,14.0,,7
0.72,14.0,,7
0.73,14.0,,7
0.74,14.0,,7
0.75,14.0,,7
0.76,14.0,,7
0.77,14.0,,7
0.78,14.0,,7
0.79,14.0,,7
0.8,14.0,,8
0.81,14.000000000000002,,8
0.82,14.0,,8
0.83,14.0,,8
0.84,13.999999999999998,,8
0.85,14.0,,8
0.86,14.0,,8
0.87,14.0,,8
0.88,14.0,,8
0.89,14.0,,8
0.9,13.999999999999998,,8
0.91,14.0,,8
0.92,14.0,,8
0.93,13.999999999999998,,8
0.94,14.0,,8
0.95,14.0,,8
0.96,14.000000000000002,,8
0.97,5.2,,9
0.98,5.23,,9
0.99,5.26,,9
1.0,5.3,,9
1.01,5.33,,9
1.02,5.3500000000000005,,9
1.03,4.93,0.11828214971209212,9
1.04,4.52,0.10854947166186359,9
1.05,4.1,0.09855769230769229,9
1.06,3.69,0.08878729547641963,9
1.07,3.2700000000000005,0.07875722543352602,9
1.08,2.8600000000000003,0.06894889103182258,9
1.09,2.4399999999999995,0.058880308880308874,9
1.1,2.03,0.04903381642512077,9
1.11,1.6100000000000003,0.03892649903288202,9
1.12,1.2000000000000002,0.029041626331074544,9
1.13,0.79,0.019137596899224806,9
1.14,0.3799999999999999,0.009214354995150336,9
1.15,0.040000000000000036,0.33883495145631065,9
1.16,0.4499999999999993,0.3292031098153548,9
1.17,0.8599999999999994,0.31955252918287935,9
1.18,1.2699999999999996,0.3098831548198637,9
1.19,1.6799999999999997,0.3001949317738792,9
1.2,2.09,0.29048780487804876,9
1.21,2.500000000000001,0.28076171874999994,9
1.22,2.91,0.2710166177908114,9
1.23,3.320000000000001,0.261252446183953,9
1.24,3.7300000000000004,0.2514691478942213,9
1.25,4.1499999999999995,0.24191176470588238,9
1.26,4.5600000000000005,0.23209028459273798,9
1.27,4.97,0.22224950884086442,9
1.28,5.380000000000001,0.21238938053097348,9
1.29,5.79,0.20275590551181097,9
1.3,6.209999999999999,0.1928571428571429,9
1.31,6.62,0.18318540433925043,9
1.32,7.020000000000001,0.17324777887462986,9
1.33,6.619999999999997,0.16353754940711454,9
1.34,6.210000000000001,0.15356083086053415,9
1.35,5.810000000000002,0.14381188118811888,9
1.36,5.4,0.1337958374628345,9
1.37,5.000000000000002,0.12400793650793655,9
1.38,4.599999999999998,0.11420059582919558,9
1.39,4.199999999999999,0.10437375745526836,9
1.4,3.789999999999999,0.09427860696517411,9
1.41,3.3900000000000006,0.08441235059760958,9
1.42,2.9899999999999984,0.0745264207377866,9
1.43,2.59,0.06462075848303393,9
1.44,2.1900000000000013,0.05469530469530473,9
1.45,1.7899999999999991,0.04474999999999998,9
1.46,1.3900000000000006,0.0347847847847848,9
1.47,0.9899999999999984,0.024799599198396752,9
1.48,0.5899999999999999,0.01479438314944834,9
1.49,0.19000000000000128,0.004769076305220915,9
1.5,0.1999999999999993,0.3969849246231155,9
1.51,0.5999999999999979,0.3873239436619719,9
1.52,1.0,0.37764350453172196,9
1.53,1.4000000000000021,0.3679435483870968,9
1.54,1.7899999999999991,0.3584762865792128,9
1.55,2.1899999999999977,0.3487373737373738,9
1.56,2.5799999999999983,0.339231547017189,9
1.57,2.9800000000000004,0.3294534412955466,9
1.58,3.370000000000001,0.3199088145896657,9
1.59,3.7699999999999996,0.3100912778904666,9
1.6,4.16,0.30050761421319805,10
1.61,4.559999999999999,0.2906504065040651,10
1.62,4.950000000000003,0.28102746693794506,10
1.63,5.34,0.2713849287169042,10
1.64,5.73,0.26172273190621814,10
1.65,6.129999999999999,0.2517857142857142,10
1.66,6.52,0.24208375893769155,10
1.67,6.91,0.23236196319018407,10
1.68,7.300000000000001,0.2226202661207778,10
1.69,7.690000000000001,0.212858606557377,10
1.7,7.920000000000002,0.20307692307692313,10
1.71,7.530000000000005,0.19327515400410689,10
1.72,7.139999999999997,0.18345323741007186,10
1.73,6.75,0.1736111111111111,10
1.74,6.3600000000000065,0.16374871266735339,10
1.75,5.980000000000004,0.1541237113402063,10
1.76,5.589999999999996,0.14422084623323006,10
1.77,5.200000000000003,0.1342975206611571,10
1.78,4.810000000000002,0.1243536711478801,10
1.79,4.430000000000007,0.11464803312629417,10
1.8,4.039999999999999,0.10466321243523313,10
1.81,3.6599999999999966,0.09491701244813269,10
1.82,3.270000000000003,0.08489096573208732,10
1.83,2.8900000000000006,0.07510395010395012,10
1.84,2.5,0.06503642039542144,10
1.85,2.1199999999999974,0.05520833333333327,10
1.86,1.7299999999999969,0.045099061522419104,10
1.87,1.3500000000000014,0.03522964509394576,10
1.88,0.9699999999999989,0.025339602925809793,10
1.89,0.5900000000000034,0.015428870292887118,10
1.9,0.20000000000000284,0.005235602094240912,10
1.91,0.17999999999999972,0.4145702306079665,10
1.92,0.5599999999999952,0.40503672612801694,10
1.93,0.9399999999999977,0.395483193277311,10
1.94,1.3199999999999932,0.38590956887486877,10
1.95,1.7000000000000028,0.37631578947368416,10
1.96,2.0800000000000054,0.36670179135932546,10
1.97,2.460000000000001,0.35706751054852315,10
1.98,2.8400000000000034,0.3474128827877507,10
1.99,3.219999999999999,0.33773784355179703,10
2.0,3.5899999999999963,0.32830687830687844,10
2.01,3.969999999999999,0.3185911016949153,10
2.02,4.350000000000001,0.3088547189819724,10
2.03,4.730000000000004,0.2990976645435243,10
2.04,5.099999999999994,0.28958554729011704,10
2.05,5.479999999999997,0.2797872340425533,10
2.06,5.850000000000001,0.270234291799787,10
2.07,6.229999999999997,0.2603944562899788,10
2.08,6.600000000000001,0.25080042689434356,10
2.09,6.979999999999997,0.2409188034188035,10
2.1,7.350000000000001,0.23128342245989303,10
2.11,7.730000000000004,0.22135974304068512,10
2.12,7.899999999999999,0.21168274383708463,10
2.13,7.530000000000001,0.20198497854077255,10
2.14,7.160000000000004,0.19226638023630513,10
2.15,6.780000000000001,0.18225806451612905,10
2.16,6.409999999999997,0.17249730893433793,10
2.17,6.039999999999999,0.1627155172413793,10
2.18,5.670000000000002,0.15291262135922334,10
2.19,5.300000000000004,0.14308855291576686,10
2.2,4.93,0.13324324324324324,10
2.21,4.559999999999995,0.12337662337662324,10
2.22,4.190000000000005,0.11348862405200445,10
2.23,3.8200000000000003,0.10357917570498916,10
2.24,3.450000000000003,0.09364820846905544,10
2.25,3.0900000000000034,0.08396739130434792,10
2.26,2.719999999999999,0.073993471164309,10
2.27,2.3500000000000014,0.06399782135076257,10
2.28,1.9799999999999969,0.05398037077426382,10
2.29,1.6200000000000045,0.04421397379912676,10
2.3,1.25,0.03415300546448087,10
2.31,0.8900000000000006,0.024343544857768067,10
2.32,0.5200000000000031,0.01423877327491794,10
2.33,0.1599999999999966,0.004385964912280608,10
2.34,0.20999999999999375,0.4333150384193196,10
2.35,0.5700000000000003,0.4239010989010991,10
2.36,0.9400000000000048,0.41419141914191426,10
