time_s,min_gap_m,min_ttc_s,vehicles
0.0,,,0
0.01,,,0
0.02,,,0
0.03,,,0
0.04,,,0
0.05,,,0
0.06,,,0
0.07,,,0
0.08,,,0
0.09,,,0
0.1,,,0
0.11,,,0
0.12,,,0
0.13,,,0
0.14,,,0
0.15,,,0
0.16,,,0
0.17,,,0
0.18,,,0
0.19,,,0
0.2,,,2
0.21,,,2
0.22,,,2
0.23,,,2
0.24,,,2
0.25,,,2
0.26,,,2
0.27,,,2
0.28,,,2
0.29,,,2
0.3,,,2
0.31,,,2
0.32,,,2
0.33,,,2
0.34,17.840000000000003,,3
0.35,17.840000000000003,,3
0.36,17.849999999999994,,3
0.37,17.85000000000001,,3
0.38,17.86,,3
0.39,17.870000000000005,,3
0.4,17.86,,3
0.41,17.870000000000005,,3
0.42,17.879999999999995,,3
0.43,17.89,,3
0.44,17.89,,3
0.45,17.89,,3
0.46,17.89999999999999,,3
0.47,17.900000000000006,,3
0.48,17.909999999999997,,3
0.49,17.909999999999997,,4
0.5,17.92,,4
0.51,17.92,,4
0.52,17.929999999999993,,4
0.53,17.939999999999998,,4
0.54,17.940000000000012,,4
0.55,17.950000000000003,,4
0.56,17.950000000000003,,4
0.57,17.960000000000008,,4
0.58,17.97,,4
0.59,17.97,,4
0.6,17.980000000000004,,4
0.61,17.980000000000004,,4
0.62,17.989999999999995,,4
0.63,17.99000000000001,,4
0.64,18.0,,5
0.65,18.0,,5
0.66,18.010000000000005,,5
0.67,18.010000000000005,,5
0.68,18.02000000000001,,5
0.69,18.03,,5
0.7,18.040000000000006,,5
0.71,18.039999999999992,,5
0.72,18.039999999999992,,5
0.73,18.049999999999997,,5
0.74,18.059999999999988,,5
0.75,18.070000000000007,,5
0.76,18.070000000000007,,6
0.77,18.08,,6
0.78,18.08,,6
0.79,18.03,,7
0.8,18.04,,7
0.81,18.04,,7
0.82,18.049999999999997,,7
0.83,18.050000000000004,,7
0.84,18.060000000000002,,7
0.85,18.059999999999995,,7
0.86,18.07,,7
0.87,18.07,,7
0.88,18.080000000000005,,7
0.89,18.08,,7
0.9,18.089999999999996,,7
0.91,18.040000000000006,,8
0.92,18.039999999999992,,8
0.93,18.049999999999997,,8
0.94,18.05000000000001,,8
0.95,18.060000000000002,,8
0.96,18.059999999999988,,8
0.97,18.060000000000002,,8
0.98,18.070000000000007,,8
0.99,18.08,,8
1.0,18.08,,8
1.01,18.08,,8
1.02,18.090000000000003,,9
1.03,18.090000000000003,,9
1.04,18.099999999999994,,9
1.05,18.10000000000001,,9
1.06,18.099999999999994,,9
1.07,18.11,,9
1.08,18.11999999999999,,9
1.09,18.11,,9
1.1,18.11999999999999,,10
1.11,18.129999999999995,,10
1.12,18.14,,10
1.13,18.129999999999995,,10
1.14,18.14,,10
1.15,18.150000000000006,,10
1.16,18.14999999999999,,10
1.17,18.14999999999999,,10
1.18,18.16000000000001,,10
1.19,18.159999999999997,,10
1.2,18.17,,10
1.21,18.17,,10
1.22,18.17,,10
1.23,18.179999999999993,,10
1.24,18.189999999999998,,10
1.25,18.189999999999998,,11
1.26,18.200000000000003,,11
1.27,18.189999999999998,,11
1.28,18.200000000000003,,11
1.29,18.209999999999994,,11
1.3,18.210000000000008,,11
1.31,18.22,,11
1.32,18.220000000000013,,11
1.33,18.22,,11
1.34,18.22,,11
1.35,18.22999999999999,,11
1.36,18.24000000000001,,11
1.37,18.239999999999995,,11
1.38,18.25,,11
1.39,18.25,,11
1.4,18.25999999999999,,11
1.41,18.260000000000005,,11
1.42,18.260000000000005,,11
1.43,18.260000000000005,,11
1.44,18.27000000000001,,11
1.45,18.269999999999996,,11
1.46,18.279999999999987,,11
1.47,18.28,,11
1.48,18.289999999999992,,11
1.49,18.290000000000006,,11
1.5,18.299999999999997,,11
1.51,18.30000000000001,,11
1.52,18.310000000000002,,11
1.53,18.310000000000002,,11
1.54,18.320000000000007,,11
1.55,18.319999999999993,,11
1.56,18.33,,11
1.57,18.33,,11
1.58,18.33,,11
1.59,18.340000000000003,,11
1.6,18.340000000000003,,11
1.61,18.349999999999994,,11
1.62,18.349999999999994,,11
1.63,18.349999999999994,,11
1.64,18.36,,11
1.65,18.36,,11
1.66,18.36999999999999,,11
1.67,18.370000000000005,,11
1.68,18.370000000000005,,11
1.69,18.38000000000001,,11
1.7,18.379999999999995,,11
1.71,18.379999999999995,,11
1.72,18.400000000000006,,11
1.73,18.400000000000006,,11
1.74,18.39999999999999,,11
1.75,18.409999999999997,,11
1.76,18.409999999999997,,11
1.77,18.41000000000001,,11
1.78,18.42,,11
1.79,18.42,,11
1.8,18.42,,11
1.81,18.429999999999993,,11
1.82,18.440000000000005,,11
1.83,18.439999999999998,,11
1.84,18.44999999999999,,11
1.85,18.449999999999996,,11
1.86,18.46,,11
1.87,18.460000000000008,,11
1.88,18.46,,11
1.89,18.470000000000006,,11
1.9,18.480000000000004,,11
1.91,18.470000000000006,,11
1.92,18.479999999999997,,11
1.93,18.490000000000002,,11
1.94,18.479999999999997,,11
1.95,18.490000000000002,,11
1.96,18.499999999999993,,11
1.97,18.5,,11
1.98,18.500000000000007,,11
1.99,18.509999999999998,,11
2.0,18.50999999999999,,11
2.01,18.520000000000003,,11
2.02,18.510000000000005,,11
2.03,18.519999999999996,,11
2.04,18.53000000000001,,11
2.05,18.529999999999994,1968.999999999692,11
2.06,18.540000000000006,492.25000000001046,11
2.07,18.549999999999997,393.7999999999944,11
2.08,18.549999999999997,328.16666666667373,11
2.09,18.550000000000004,393.80000000002235,11
2.1,18.559999999999995,328.1666666666736,11
2.11,18.560000000000002,393.7999999999944,11
2.12,18.570000000000007,328.3333333333209,11
2.13,18.58,393.7999999999944,11
2.14,18.58,328.1666666666736,11
2.15,18.590000000000003,393.80000000002235,11
2.16,18.590000000000003,328.1666666666736,11
2.17,18.61,393.7999999999944,11
2.18,18.61,328.1666666666542,11
2.19,18.620000000000005,393.7999999999944,11
2.2,18.63000000000001,328.1666666666542,11
2.21,18.64,393.7999999999944,11
2.22,18.64,311.0000000000066,11
2.23,18.64999999999999,233.25000000000512,11
2.24,18.650000000000006,186.50000000000404,11
2.25,18.650000000000006,155.41666666666544,11
2.26,18.64999999999999,133.21428571428513,11
2.27,18.64999999999999,116.56249999999984,11
2.28,18.64999999999999,116.56249999999984,11
2.29,18.64999999999999,116.56249999999984,11
2.3,18.64,116.4999999999999,11
2.31,18.64,116.4999999999999,11
2.32,18.64,116.50000000000249,11
2.33,18.64,116.4999999999999,11
2.34,18.64,116.4999999999999,11
2.35,18.64,116.4999999999999,11
2.36,18.64,116.4999999999999,11
2.37,18.64,116.4999999999999,11
2.38,18.629999999999995,116.43749999999987,11
2.39,18.629999999999995,116.43749999999987,11
2.4,18.629999999999995,116.43749999999987,11
2.41,18.620000000000005,116.37499999999993,11
2.42,18.629999999999995,116.43749999999987,11
2.43,18.61999999999999,116.37499999999983,11
2.44,18.63000000000001,116.43749999999996,11
2.45,18.620000000000005,116.37499999999993,11
2.46,18.620000000000005,116.37499999999993,11
2.47,18.61,116.31249999999989,11
2.48,18.61999999999999,116.37499999999983,11
2.49,18.620000000000005,116.37499999999993,11
2.5,18.61999999999999,116.37499999999983,11
2.51,18.61,116.31249999999989,11
2.52,18.60000000000001,116.24999999999994,11
2.53,18.599999999999994,116.24999999999986,11
2.54,18.61,116.31249999999989,11
2.55,18.61,116.31249999999989,11
2.56,18.599999999999994,116.24999999999986,11
2.57,18.60000000000001,116.24999999999994,11
2.58,18.60000000000001,116.24999999999994,11
2.59,18.599999999999994,116.25000000000244,11
2.6,18.599999999999994,116.24999999999986,11
2.61,18.590000000000003,116.18749999999991,11
2.62,18.599999999999994,116.24999999999986,11
2.63,18.590000000000003,116.18749999999991,11
2.64,18.590000000000003,116.18749999999991,11
2.65,18.590000000000003,116.18749999999991,11
2.66,18.590000000000003,116.18749999999991,11
2.67,18.590000000000003,116.18749999999991,11
2.68,18.590000000000003,116.18749999999991,11
2.69,18.58,116.12499999999989,11
2.7,18.58,116.12499999999989,11
2.71,18.58,116.12499999999989,11
2.72,18.570000000000007,116.06249999999994,11
2.73,18.58,116.12499999999989,11
2.74,18.569999999999993,116.06249999999986,11
2.75,18.58,116.12499999999989,11
2.76,18.569999999999993,116.06249999999986,11
2.77,18.569999999999993,116.06249999999986,11
2.78,18.560000000000002,115.99999999999991,11
